name,kitchen,meal,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vitamin_a,vitamin_c,calcium,iron,water,potassium,vitamin_d,serving_size,serving_unit
Gluten Free Penne Pasta,Clark Kerr Campus,Dinner,27.457350272232304,0.14519056261343014,0.0,0.0,0.0,213.99092558983665,6.353901996370236,0.2885662431941924,0.29401088929219604,0.5789473684210527,0.0,0.0,0.2885662431941924,0.0,19.756805807622506,10.82940108892922,0.0,1.0,oz
Vegan Creole Potato Salad,Clark Kerr Campus,Dinner,27.269841269841272,1.1777777777777778,0.07301587301587302,0.0,0.0,82.93015873015874,3.6888888888888887,0.40952380952380957,0.3396825396825397,0.4380952380952381,0.2380952380952381,2.022222222222222,2.9523809523809526,0.17142857142857146,19.876190476190477,106.17142857142858,0.0,1.0,oz
Steamed Corn Cob,Clark Kerr Campus,Dinner,26.57569721115538,0.16733067729083667,0.0,0.0,0.0,78.24701195219124,6.639442231075697,0.6633466135458168,1.659362549800797,0.9960159362549802,0.0,0.0,0.9960159362549802,0.3326693227091634,0.0,82.99003984063746,0.0,1.0,oz
Fiery Veggie Chili,Clark Kerr Campus,Dinner,16.2275,0.36875,0.0,0.0,0.0,82.4975,2.86375,0.62375,1.15125,0.62375,0.0,0.0,6.80375,0.25,0.0,148.55125,0.0,1.0,oz
Roasted Cherry Tomato,Clark Kerr Campus,Dinner,15.851851851851853,1.2820512820512822,0.18233618233618235,0.0,0.0,19.985754985754987,1.0370370370370372,0.32763532763532766,0.6837606837606838,0.2678062678062678,14.216524216524217,3.766381766381767,4.846153846153847,0.11111111111111112,25.581196581196586,64.96011396011396,0.0,1.0,oz
Lemon Pepper Roasted Cauliflower,Clark Kerr Campus,Dinner,15.380664652567974,0.9939577039274924,0.13897280966767372,0.0,0.0,19.37462235649547,1.4682779456193353,0.5679758308157099,0.5347432024169184,0.5015105740181268,0.0,11.87311178247734,6.099697885196375,0.11782477341389729,22.679758308157098,73.65558912386707,0.0,1.0,oz
Grandma Mary's Chicken Soup,Clark Kerr Campus,Dinner,15.05125,0.1725,0.11625,0.0,4.05125,98.35625,1.9675,0.2325,0.34625,1.505,0.0,0.0,4.63,0.0675,0.0,67.11125,0.0,1.0,oz
Marinara Sauce,Clark Kerr Campus,Dinner,11.658450704225352,0.2887323943661972,0.0,0.0,0.0,76.46830985915493,1.9507042253521127,0.4542253521126761,0.07394366197183098,0.4542253521126761,0.0,0.0,4.045774647887324,0.19366197183098594,0.0,83.87323943661971,0.0,1.0,oz
Braised Collard Greens,Clark Kerr Campus,Dinner,10.990407673860911,0.0,0.0,0.0,0.0,72.35971223021583,1.410071942446043,0.60431654676259,0.709832134292566,0.60431654676259,0.0,0.2278177458033573,21.10071942446043,0.18225419664268586,0.5419664268585132,42.65467625899281,0.0,1.0,oz
Stir Fried Cabbage,Clark Kerr Campus,Dinner,8.563888888888888,0.02777777777777778,0.008333333333333333,0.0,0.0,32.71944444444445,2.0444444444444443,0.6805555555555556,0.9888888888888889,0.35,1.3555555555555554,9.911111111111111,10.841666666666667,0.13055555555555554,25.447222222222223,46.047222222222224,0.0,1.0,oz
Steamed Broccolini with Lemon,Clark Kerr Campus,Dinner,8.0,0.09803921568627451,0.014705882352941176,0.0,0.0,7.512254901960784,1.4607843137254901,0.6544117647058824,0.42401960784313725,0.8333333333333333,0.0,25.892156862745097,13.482843137254902,0.24754901960784315,25.193627450980394,90.28676470588235,0.0,1.0,oz
